AirportName,City,Country,AirportCode,Latitude,Longitude
Bordeaux-Mérignac Airport,Bordeaux,France,BOD,44.8283004761,-0.7155560255050001
Lyon Saint-Exupéry Airport,Lyon,France,LYS,45.72555560000001,5.081111099999999
Nice-Côte d'Azur Airport,Nice,France,NCE,43.658401489300005,7.215869903560001
Charles de Gaulle International Airport,Paris,France,CDG,49.0127983093,2.54999995232
Paris-Orly Airport,Paris,France,ORY,48.7233333,2.3794444
Toulouse-Blagnac Airport,Toulouse,France,TLS,43.629101,1.36382
Berlin-Schönefeld International Airport,Berlin,Germany,SXF,52.38000106811499,13.522500038147
Hamburg Airport,Hamburg,Germany,HAM,53.630401611328004,9.988229751586902
Malpensa International Airport,Milano,Italy,MXP,45.6306,8.728110000000001
Naples International Airport,Naples,Italy,NAP,40.886002000000005,14.2908
Venice Marco Polo Airport,Venice,Italy,VCE,45.505299,12.3519
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,52.308601379399995,4.7638897895799985
Lisbon Portela Airport,Lisbon,Portugal,LIS,38.7812995911,-9.13591957092
Francisco de Sá Carneiro Airport,Porto,Portugal,OPO,41.248100280799996,-8.68138980865
Barcelona International Airport,Barcelona,Spain,BCN,41.297100067139,2.0784599781036
Belfast International Airport,Belfast,United Kingdom,BFS,54.6575012207,-6.21582984924
Bristol Airport,Bristol,United Kingdom,BRS,51.382702,-2.71909
Edinburgh Airport,Edinburgh,United Kingdom,EDI,55.95000076293945,-3.372499942779541
Glasgow International Airport,Glasgow,United Kingdom,GLA,55.8718986511,-4.43306016922
Inverness Airport,Inverness,United Kingdom,INV,57.54249954223633,-4.047500133514403
Liverpool John Lennon Airport,Liverpool,United Kingdom,LPL,53.33359909057617,-2.849720001220703
London Gatwick Airport,London,United Kingdom,LGW,51.14810180664063,-0.19027799367904666
London Luton Airport,London,United Kingdom,LTN,51.87469863891602,-0.36833301186561584
Southend Airport,Southend,United Kingdom,SEN,51.5713996887207,0.6955559849739075
London Stansted Airport,London,United Kingdom,STN,51.8849983215,0.23499999940400002
Manchester Airport,Manchester,United Kingdom,MAN,53.35369873046875,-2.2749500274658203
Newcastle Airport,Newcastle,United Kingdom,NCL,55.037498474121094,-1.6916699409484863
